gene,mean_expression
CAPNS1,1.2261783868962566
SUB1,1.2198002970475235
TNC,1.218653854451432
FKBP1A,1.2173531759554976
SKP1,1.2098614530058096
SOD2,1.208816476955714
TCEB2,1.207534939100016
NCL,1.2062254636887684
GUK1,1.2051054225950841
TUBB4B,1.2046071969910173
KLK7,1.2032853572672566
HLA.DPA1,1.2018165851616307
ZFP36L2,1.1985737022185168
SLC2A1,1.1924317686368298
GAPDH,1.191428317534213
APRT,1.1907051102017725
COX6C,1.1874563412259747
CAPZB,1.1821118357363125
COX7C,1.180455185374282
MCL1,1.175715504349857
PSMA7,1.1715574855638655
NNMT,1.170569792957298
ACTR2,1.1705431156600548
HTRA1,1.168567680661252
NECTIN1,1.1665924697226246
HSP90B1,1.1655721258840814
LGALS3,1.1644043351048665
GNB2,1.1642049841632116
TAPBP,1.1642045329343405
DDX17,1.160964097951027
UQCRH,1.1575866313466172
BGN,1.1575126993833789
UBE2D3,1.1560302835130534
ANXA8L1,1.1554177051644452
BTF3,1.149947599514036
RPS4Y1,1.149205252626874
AHNAK2,1.1429584831344766
NDUFA4,1.1426409509106976
PRNP,1.1425398752981464
GDI2,1.1397238127048441
PSMD8,1.1395479852197976
ANXA8,1.1393369690373243
BCAP31,1.137550459348208
GLTP,1.1374192271899703
SERPINB5,1.135874941204952
RPS10,1.1352016144240928
C14orf2,1.1349200285132357
TUBA4A,1.128410664023153
NDUFS6,1.1261305427117063
HNRNPAB,1.125734743446309
SNRPD2,1.123761918716478
THBS2,1.1227335363429114
CNFN,1.1211368271846645
TYMP,1.1202556224453528
TUBB6,1.1198992106496104
COX8A,1.1184011915859007
FN1,1.1150745528176527
CAPN2,1.1139456000647798
EIF3B,1.112259097446669
PCBP2,1.111508810263596
PRELID1,1.105624860584341
EIF3K,1.105555469823989
COL4A1,1.1051247769979058
MYL12A,1.1028362224680304
SLC25A3,1.100138618801998
MSN,1.0989505563745436
SLC25A5,1.0977585400078471
AP2S1,1.0944545835453943
RPS15,1.0932591521483384
MORF4L1,1.0916673546496607
PLEC,1.0878285462690505
CLTC,1.0832719431807663
C10orf99,1.0816540844393092
TXNDC17,1.0779647695899799
PSMB4,1.0703204920059008
TP63,1.069585425273472
TIMM13,1.069305948222315
ATP5O,1.0692856857022703
ELOVL1,1.0690716129561133
COX7A2,1.0690309553351622
IL1RN,1.068011820044936
ATP5L,1.0669505458497843
HLA.DPB1,1.0657223120134398
ARPC1B,1.0655913495070097
MMP2,1.0645900915395345
EIF6,1.064175360151474
TMEM45A,1.0639046909201224
MAF,1.0632070799833102
THY1,1.0616739245736047
COL18A1,1.0609503598106618
C4orf3,1.0571150015916255
ATP5I,1.0566057718254083
GPNMB,1.0554502427775339
ITGA6,1.0549753165698998
MZT2B,1.0490969689871301
IGFBP5,1.049036939609919
CANX,1.0479479808088958
HNRNPA3,1.0471426400522523
PRDX6,1.0428343942228533
HNRNPU,1.042725066574204
HDLBP,1.0417123803042418
SUMO2,1.0398208195010559
SPRR2D,1.0384796933079792
CIRBP,1.0365640529930986
TMED10,1.0364682932957907
HNRNPA1,1.0355850493671088
PPP1CB,1.0300396748429892
EZR,1.0290710352706594
BTG1,1.0290228543889444
DST,1.028802296381123
POSTN,1.0269523606148383
TMED2,1.0269260486427523
ENSA,1.0198956668278238
CDH3,1.0192209609494305
MRPL51,1.0184527370609984
TOMM7,1.01823323481525
PKP3,1.0158326651975018
UQCR10,1.0090096209518957
BSG,1.0043230072058589
PSMB3,1.0042531248058704
ELL2,1.0034715274213166
SRSF3,1.0024208912983636
C1S,1.0013273275204446
ODC1,1.0010724333639176
PLS3,0.9991116520782181
PSME2,0.9976839630414318
CCNI,0.9953926211556062
POMP,0.9934561888607133
ATP6AP2,0.9929038754460827
GPX4,0.9927180030488021
SPINK6,0.9926196971032398
SFPQ,0.9919999745606587
SERPINH1,0.991518266795092
FSTL1,0.9910792174274163
CTNNB1,0.9895582873102845
BZW1,0.9893773359968173
MAFB,0.9882666983253119
PTGES3,0.9877918898960613
COL5A2,0.9876697696745396
HNRNPD,0.9865741615263831
GNB1,0.9863363658848977
UQCRC1,0.9853916008839544
H2AFZ,0.9844644129868375
UQCR11,0.9839923134110621
PGAM1,0.9839399876381387
ECM1,0.9826059687808649
COMMD1,0.9823452218478879
SYNGR2,0.9812747435459238
TAGLN,0.9771278042173543
USMG5,0.9755746185878255
EIF3H,0.9738018033125543
ATP5G3,0.9708809704575317
CD9,0.9706700947012333
HNRNPC,0.969569059890627
UQCRB,0.9676545043260056
ROMO1,0.9661174771801525
EIF5,0.965918891970685
ARPC5,0.9620260222266052
ANXA5,0.9605792431247155
EIF4G1,0.9603220897893242
NACA2,0.9592666974328211
ARHGDIB,0.9567443613974463
SPRR2E,0.9525356479235833
STAT1,0.9513126150859113
COL7A1,0.9492424413660504
HMGB1,0.9477681500824872
KTN1,0.9474941105242597
NUCKS1,0.945671041230887
RAB7A,0.9455680078425944
NDUFB9,0.9451688708157728
CLTA,0.9448351839816334
PCOLCE,0.943586012484222
HDGF,0.9435857090827645
SEC61A1,0.9430533676155356
SRSF2,0.9421599991372879
CALR,0.9406342552789789
SET,0.9403959463368978
LRP10,0.936133344885924
EIF3F,0.9352692239331883
IFI6,0.9352320150675758
NPC2,0.9337699361490888
ARPC3,0.9298831831836543
HADHA,0.9261300260361457
C6orf62,0.9255677206528108
VAPA,0.924475418662788
PSME1,0.9239617753403866
SF3B5,0.9235640133157471
SEPP1,0.9232431230511492
EIF3A,0.921209092221118
