gene,variance
XBP1,0.5629412147836445
PCBP2,0.5621811032516529
PSMB3,0.5611202097683805
GNB1,0.5608478902231879
NPC2,0.5606190123546823
PRSS23,0.5589413666481644
PMEPA1,0.5589032138149029
NDUFB9,0.5588466569836159
NACA2,0.5585786176081861
KLK5,0.5579008172444332
VMP1,0.5577407206351433
ATP6AP2,0.5574866068985347
SFPQ,0.5573838920337949
PSMD2,0.5573064300106991
UBA52,0.5569507287239102
CCNI,0.5565693924432384
BSG,0.5565521099932529
HNRNPD,0.5564953198083962
GNAS,0.5557544215652296
TACSTD2,0.5552433238101134
TIMM8B,0.5546219725010869
RPL15,0.553411360485612
SRSF2,0.5533293851491637
RPL7A,0.5532496279669743
UQCR11,0.552836101966266
PLTP,0.5524031358421103
COPS9,0.5522870903721614
ANXA2,0.5520001727093067
SERPING1,0.5516182043038295
SF3B5,0.5514234806802595
SULF2,0.5511491384211172
EIF3F,0.550836571057147
C1QB,0.5503758481454408
RAB7A,0.5497208758595074
AC012005.1,0.5496069744566653
PTPRF,0.5491035749163632
HNRNPF,0.5490260340492839
EIF5,0.5488123461480057
HNRNPM,0.5488045057246618
C19orf33,0.5479041807880257
ATP5G2,0.5478960062889504
RPL4,0.5470737713963981
SUMO2,0.5469305935119989
ENAH,0.5463978671985179
RPS23,0.5463724460834103
CAST,0.5461861418684152
FBL,0.5461189746993933
TMA7,0.545652720967935
PSMA4,0.5444435434146782
GSTO1,0.5443410534518981
PECAM1,0.5442380310133135
CCT6A,0.5442001749383706
UBL5,0.5441861496047912
VAPA,0.5439036507279499
IFITM2,0.5437457161453519
GLUL,0.5429028488807831
FAM213A,0.5421678649020878
EIF2S2,0.5413238291760402
LGALS7,0.5410949486679827
VDAC1,0.5410878239673331
TMED2,0.5409739234365543
SRRM2,0.5405930821563935
LDHB,0.5394171992421256
BICD2,0.5385951842524718
EIF3A,0.5375662104412957
HIF1A,0.5370237525876205
SEPW1,0.5370072694602013
RPL9,0.5362550642680126
FLNB,0.536037528215958
EIF5B,0.535528898119966
UQCR10,0.5354748438690737
