gene,variance
COX7A2,0.6070844418195525
LMNA,0.6063278038755311
SKP1,0.6057913264836645
LAMB3,0.6054144343124102
RPS20,0.6053324058796127
ATP5I,0.6048332287074347
EIF3B,0.604790157139651
EIF3K,0.6043412646914088
CD44,0.6041235305769368
BCAP31,0.6027487437475503
ATP5E,0.6027373233997586
MT.ND5,0.6026582599317623
YWHAB,0.6023803159098025
HSP90B1,0.6023532263970913
CYBA,0.6023281603055439
SRSF3,0.6014594339867265
CANX,0.6013047108682322
PLEC,0.6012872386865354
C4orf3,0.6000880011889472
RHOC,0.6000322520663031
USMG5,0.5994673154933013
APCDD1,0.5988357694924784
MORF4L1,0.5988020687380756
MYL6,0.5986560974274667
RPS4X,0.5986385170337934
HLA.DRB1,0.5974924634079777
HNRNPAB,0.5971231449212676
SREK1IP1,0.5969816638516499
LAPTM4A,0.5960702588767418
C1QA,0.5960430677424702
AC090498.1,0.5957945275779792
HNRNPU,0.5957900604000941
RPSA,0.5953045500902603
GPNMB,0.5945465477950805
POMP,0.594399298298515
JCHAIN,0.5938323193846288
MZT2B,0.593084480280591
RPS26,0.592964577729292
RPL18A,0.5922764315921757
FAU,0.5921220513593738
COX8A,0.5919792152167985
LGALS3BP,0.5914216055884445
RPL41,0.5912365373292707
COTL1,0.5897921379058011
PSMD8,0.5897390832479893
COMMD1,0.5882127465998782
ECM1,0.5878521487835848
CIRBP,0.5876207118174525
PSME1,0.5873776875482393
FKBP10,0.5872866942096154
RPL24,0.5856074495050285
UBE2D3,0.5854114231421658
CAPZB,0.5851815167400142
MT.ND2,0.5847654518939198
MKNK2,0.584524821701527
RPS4Y1,0.5844068564476137
AP2S1,0.5838651661444401
ROMO1,0.5823177688966285
PTGES3,0.5815734216168321
CRABP2,0.5810034473602101
APP,0.5809976627712446
PGAM1,0.5808076697611663
SLC25A3,0.5804688071758893
HNRNPA1,0.5795017808142786
IMPA2,0.5794431493782068
LGALS3,0.5790304855832118
GPX4,0.5781023708032823
ATP5H,0.5781008729201792
MYL12A,0.5775597360358584
BZW1,0.577337064262408
UBC,0.5772137676428682
CLTA,0.5767675365156046
CDH1,0.5756929950274615
ENSA,0.5743978676112728
STAB1,0.5732037156505938
RPL10,0.5730673956734438
GNB2,0.5730325550305333
GSTP1,0.5729918934101703
HDGF,0.5729510652233245
TOMM7,0.5729246445841324
CXCL9,0.572820722193563
ITGB4,0.5725441831879948
HMGB1,0.5723807316912128
NUCKS1,0.5723159310966437
ATP5G3,0.5714111241078699
CLSTN1,0.5711913037978559
PDGFRB,0.5710267836747978
PLS3,0.5707520756920557
